Date,Open,High,Low,Close,Volume
25-Jul-16,6.36,7.79,6.30,7.21,26618
22-Jul-16,6.28,6.90,6.20,6.50,17367
21-Jul-16,7.05,7.80,6.10,6.68,20975
20-Jul-16,6.60,6.85,6.20,6.35,2045
19-Jul-16,6.50,7.09,6.22,6.40,7941
18-Jul-16,6.40,8.38,6.40,7.65,39068
15-Jul-16,6.46,6.61,6.40,6.50,2488
14-Jul-16,6.51,6.58,6.48,6.50,2130
13-Jul-16,6.00,6.70,6.00,6.55,6052
12-Jul-16,6.00,6.20,6.00,6.20,913
11-Jul-16,5.60,6.20,5.60,6.20,504
8-Jul-16,6.20,6.20,6.10,6.10,45
7-Jul-16,6.20,6.20,6.15,6.15,774
6-Jul-16,5.93,6.20,5.93,6.20,163
5-Jul-16,6.40,6.40,5.93,6.30,563
1-Jul-16,6.33,6.58,5.90,6.46,3484
30-Jun-16,5.81,5.90,5.72,5.72,1692
29-Jun-16,6.20,6.76,5.90,5.90,732
28-Jun-16,6.40,6.90,6.40,6.40,887
27-Jun-16,6.40,7.00,6.40,6.70,2098
24-Jun-16,6.21,7.00,6.00,7.00,1689
23-Jun-16,6.50,7.08,6.50,7.08,443
22-Jun-16,6.60,6.98,6.60,6.84,420
21-Jun-16,7.00,7.00,6.98,7.00,935
20-Jun-16,7.05,7.18,6.20,7.10,1292
17-Jun-16,7.00,7.30,6.32,6.98,1092
16-Jun-16,6.80,7.38,6.30,6.30,12566
15-Jun-16,7.00,7.00,6.70,6.90,1849
14-Jun-16,6.50,6.80,6.50,6.80,283
13-Jun-16,7.00,7.70,6.10,6.43,2926
10-Jun-16,7.70,7.70,7.00,7.00,466
9-Jun-16,7.70,7.70,7.20,7.58,540
8-Jun-16,7.50,7.60,7.30,7.60,1432
7-Jun-16,7.63,7.63,7.10,7.40,3745
6-Jun-16,7.40,7.70,7.21,7.50,1807
3-Jun-16,6.60,8.11,6.50,7.40,16432
2-Jun-16,6.40,6.70,6.40,6.65,7833
1-Jun-16,6.20,7.00,6.00,6.32,9797
31-May-16,6.23,6.30,6.00,6.30,1042
27-May-16,6.60,6.60,6.06,6.30,5308
26-May-16,6.51,6.70,6.34,6.50,3529
25-May-16,6.20,7.00,5.81,6.50,18086
24-May-16,5.80,6.20,5.60,6.15,11456
23-May-16,6.00,6.00,5.80,5.90,481
